games,Max Tile
28814.399999999998,4096
28914.45,4096
29014.5,4096
29114.55,4096
29214.6,4096
29314.649999999998,4096
29414.7,4096
29514.75,4096
29614.8,4096
29714.85,4096
29814.899999999998,4096
29914.95,4096
30015.0,4096
30115.05,4096
30215.1,4096
30315.149999999998,4096
30415.2,4096
30515.25,4096
30615.3,4096
30715.35,4096
30815.399999999998,4096
30915.45,4096
31015.5,4096
31115.55,4096
31215.6,4096
31315.649999999998,4096
31415.7,2048
31515.75,4096
31615.8,4096
31715.85,4096
31815.899999999998,4096
31915.95,4096
32016.0,4096
32116.05,4096
32216.1,4096
32316.149999999998,4096
32416.2,4096
32516.25,4096
32616.3,4096
32716.35,4096
32816.4,4096
32916.45,4096
33016.5,4096
33116.549999999996,4096
33216.6,4096
33316.65,4096
33416.7,4096
33516.75,4096
33616.799999999996,4096
33716.85,4096
33816.9,4096
33916.95,4096
34017.0,4096
34117.049999999996,4096
34217.1,4096
34317.15,4096
34417.2,4096
34517.25,4096
34617.299999999996,4096
34717.35,4096
34817.4,4096
34917.45,4096
35017.5,4096
35117.549999999996,4096
35217.6,4096
35317.65,4096
35417.7,4096
35517.75,4096
35617.799999999996,4096
35717.85,4096
35817.9,4096
35917.95,4096
36018.0,4096
36118.049999999996,4096
36218.1,4096
36318.15,2048
36418.2,4096
36518.25,4096
36618.299999999996,4096
36718.35,4096
36818.4,4096
36918.45,4096
37018.5,4096
37118.549999999996,4096
37218.6,4096
37318.65,4096
37418.7,4096
37518.75,4096
37618.799999999996,4096
37718.85,4096
37818.9,4096
37918.95,4096
38019.0,4096
38119.049999999996,4096
38219.1,4096
38319.15,4096
38419.2,4096
38519.25,4096
38619.299999999996,4096
38719.35,4096
38819.4,4096
38919.45,4096
39019.5,4096
39119.549999999996,4096
39219.6,4096
39319.65,4096
39419.7,4096
39519.75,4096
39619.799999999996,4096
39719.85,4096
39819.9,4096
39919.95,4096
40020.0,4096
40120.049999999996,4096
40220.1,4096
40320.15,4096
40420.2,4096
40520.25,4096
40620.299999999996,4096
40720.35,4096
40820.4,4096
40920.45,4096
41020.5,4096
41120.549999999996,4096
41220.6,4096
41320.65,4096
41420.7,4096
41520.75,4096
41620.799999999996,4096
41720.85,4096
41820.9,4096
41920.95,4096
42021.0,4096
42121.049999999996,4096
42221.1,4096
42321.15,4096
42421.2,4096
42521.25,4096
42621.299999999996,4096
42721.35,4096
42821.4,4096
42921.45,4096
43021.5,4096
43121.549999999996,4096
43221.6,4096
43321.65,4096
43421.7,4096
43521.75,4096
43621.799999999996,4096
43721.85,4096
43821.9,4096
43921.95,4096
44022.0,4096
44122.049999999996,4096
44222.1,4096
44322.15,4096
44422.2,4096
44522.25,4096
44622.299999999996,4096
44722.35,4096
44822.4,4096
44922.45,4096
45022.5,4096
45122.549999999996,4096
45222.6,4096
45322.65,4096
45422.7,4096
45522.75,4096
45622.799999999996,4096
45722.85,8192
45822.9,4096
45922.95,4096
46023.0,4096
46123.049999999996,4096
46223.1,4096
46323.15,4096
46423.2,4096
46523.25,4096
46623.299999999996,4096
46723.35,4096
46823.4,4096
46923.45,4096
47023.5,4096
47123.549999999996,4096
47223.6,4096
47323.65,4096
47423.7,4096
47523.75,4096
47623.799999999996,4096
47723.85,4096
47823.9,4096
47923.95,4096
48024.0,4096
48124.049999999996,4096
48224.1,4096
48324.15,4096
48424.2,4096
48524.25,4096
48624.299999999996,4096
48724.35,4096
48824.4,4096
48924.45,4096
49024.5,4096
49124.549999999996,4096
49224.6,4096
49324.65,4096
49424.7,4096
49524.75,4096
49624.799999999996,4096
49724.85,4096
49824.9,4096
49924.95,4096
50025.0,4096
50125.049999999996,4096
50225.1,4096
50325.15,4096
50425.2,4096
50525.25,4096
50625.299999999996,4096
50725.35,4096
50825.4,4096
50925.45,4096
51025.5,4096
51125.549999999996,4096
51225.6,4096
51325.65,4096
51425.7,4096
51525.75,4096
51625.799999999996,4096
51725.85,4096
51825.9,4096
51925.95,4096
52026.0,4096
52126.049999999996,4096
52226.1,4096
52326.15,4096
52426.2,4096
52526.25,4096
52626.299999999996,4096
52726.35,4096
52826.4,4096
52926.45,4096
53026.5,4096
53126.549999999996,4096
53226.6,4096
53326.65,4096
53426.7,4096
53526.75,4096
53626.799999999996,4096
53726.85,4096
53826.9,4096
53926.95,4096
54027.0,4096
54127.049999999996,4096
54227.1,4096
54327.15,4096
54427.2,4096
54527.25,4096
54627.299999999996,4096
54727.35,4096
54827.4,4096
54927.45,4096
55027.5,4096
55127.549999999996,2048
55227.6,4096
55327.65,4096
55427.7,4096
55527.75,4096
55627.799999999996,4096
55727.85,4096
55827.9,4096
55927.95,4096
56028.0,4096
56128.049999999996,4096
56228.1,4096
56328.15,4096
56428.2,4096
56528.25,4096
56628.299999999996,4096
56728.35,2048
56828.4,4096
56928.45,4096
57028.5,4096
57128.549999999996,4096
57228.6,4096
57328.65,4096
57428.7,4096
57528.75,4096
57628.799999999996,4096
57728.85,4096
57828.9,4096
57928.95,4096
58029.0,4096
58129.049999999996,4096
58229.1,4096
58329.15,4096
58429.2,4096
58529.25,4096
58629.299999999996,4096
58729.35,4096
58829.4,4096
58929.45,4096
59029.5,4096
59129.549999999996,4096
59229.6,4096
59329.65,4096
59429.7,4096
59529.75,4096
59629.799999999996,4096
59729.85,4096
59829.9,4096
59929.95,4096
60030.0,4096
60130.049999999996,4096
60230.1,4096
60330.15,4096
60430.2,4096
60530.25,4096
60630.299999999996,4096
60730.35,4096
60830.4,4096
60930.45,4096
61030.5,4096
61130.549999999996,4096
61230.6,4096
61330.65,4096
61430.7,4096
61530.75,4096
61630.799999999996,4096
61730.85,4096
61830.9,4096
61930.95,4096
62031.0,4096
62131.049999999996,4096
62231.1,4096
62331.15,4096
62431.2,4096
62531.25,4096
62631.299999999996,4096
62731.35,4096
62831.4,4096
62931.45,4096
63031.5,4096
63131.549999999996,4096
63231.6,4096
63331.65,4096
63431.7,4096
63531.75,4096
63631.799999999996,4096
63731.85,4096
63831.9,4096
