games,2048 rate
31814.64762782128,0.77
31914.69368954399,0.76
32014.739751266698,0.69
32114.785812989405,0.76
32214.831874712116,0.65
32314.877936434823,0.7
32414.92399815753,0.67
32514.97005988024,0.7
32615.01612160295,0.75
32715.062183325655,0.66
32815.10824504837,0.78
32915.15430677107,0.75
33015.20036849378,0.68
33115.24643021649,0.69
33215.292491939195,0.71
33315.33855366191,0.78
33415.38461538462,0.68
33515.430677107324,0.7
33615.47673883003,0.75
33715.52280055274,0.62
33815.568862275446,0.75
33915.61492399816,0.68
34015.66098572087,0.64
34115.707047443575,0.74
34215.75310916628,0.81
34315.79917088899,0.65
34415.8452326117,0.62
34515.89129433441,0.74
34615.93735605712,0.72
34715.983417779826,0.79
34816.02947950253,0.81
34916.07554122524,0.7
35016.12160294795,0.71
35116.16766467066,0.74
35216.21372639337,0.74
35316.25978811608,0.78
35416.30584983878,0.77
35516.35191156149,0.78
35616.3979732842,0.82
35716.44403500691,0.7
35816.49009672962,0.73
35916.53615845233,0.77
36016.582220175034,0.78
36116.62828189774,0.8
36216.67434362045,0.83
36316.72040534316,0.76
36416.76646706587,0.77
36516.81252878858,0.71
36616.858590511285,0.75
36716.90465223399,0.73
36816.9507139567,0.77
36916.996775679414,0.76
37017.04283740212,0.79
37117.08889912483,0.82
37217.134960847536,0.71
37317.18102257024,0.76
37417.22708429295,0.73
37517.273146015665,0.63
37617.31920773837,0.79
37717.36526946108,0.68
37817.41133118379,0.8
37917.45739290649,0.68
38017.5034546292,0.79
38117.549516351915,0.81
38217.59557807462,0.71
38317.64163979733,0.7
38417.68770152004,0.7
38517.733763242744,0.64
38617.77982496545,0.74
38717.82588668816,0.78
38817.87194841087,0.73
38917.91801013358,0.78
39017.96407185629,0.74
39118.010133578995,0.76
39218.0561953017,0.81
39318.10225702441,0.74
39418.148318747124,0.78
39518.19438046983,0.64
39618.24044219254,0.78
39718.286503915246,0.69
39818.33256563795,0.75
39918.37862736066,0.74
40018.424689083375,0.71
40118.47075080608,0.81
40218.51681252879,0.79
40318.5628742515,0.75
40418.6089359742,0.74
40518.65499769691,0.75
40618.701059419625,0.76
40718.74712114233,0.8
40818.79318286504,0.71
40918.83924458775,0.66
41018.885306310454,0.77
41118.93136803316,0.72
41218.977429755876,0.75
41319.02349147858,0.83
41419.06955320129,0.77
41519.115614924,0.74
41619.161676646705,0.77
41719.20773836941,0.73
41819.25380009213,0.73
41919.299861814834,0.79
42019.34592353754,0.81
42119.39198526025,0.77
42219.438046982956,0.73
42319.48410870566,0.77
42419.53017042838,0.68
42519.576232151085,0.74
42619.62229387379,0.77
42719.6683555965,0.88
42819.71441731921,0.69
42919.760479041914,0.79
43019.80654076463,0.71
43119.852602487335,0.83
43219.89866421004,0.68
43319.94472593275,0.72
43419.99078765546,0.66
43520.036849378164,0.71
43620.08291110088,0.7
43720.128972823586,0.71
43820.17503454629,0.72
43920.221096269,0.66
44020.26715799171,0.71
44120.313219714415,0.66
44220.35928143713,0.7
44320.40534315984,0.69
44420.451404882544,0.73
44520.49746660525,0.77
44620.54352832796,0.75
44720.589590050666,0.71
44820.63565177338,0.79
44920.68171349609,0.68
45020.727775218795,0.7
45120.7738369415,0.71
45220.81989866421,0.78
45320.86596038692,0.74
45420.912022109624,0.74
45520.95808383234,0.78
45621.004145555045,0.77
45721.05020727775,0.72
45821.09626900046,0.73
45921.14233072317,0.72
46021.188392445874,0.71
46121.23445416859,0.79
46221.280515891296,0.74
46321.326577614,0.71
46421.37263933671,0.8
46521.41870105942,0.81
46621.464762782125,0.8
46721.51082450484,0.71
46821.55688622755,0.85
46921.602947950254,0.83
47021.64900967296,0.7
47121.69507139567,0.67
47221.741133118376,0.78
47321.78719484109,0.77
47421.8332565638,0.77
47521.879318286505,0.77
47621.92538000921,0.74
47721.97144173192,0.84
47822.01750345463,0.76
47922.06356517734,0.73
48022.10962690005,0.76
48122.155688622755,0.83
48222.20175034546,0.76
48322.24781206817,0.81
48422.29387379088,0.76
48522.33993551359,0.74
48622.3859972363,0.75
48722.432058959006,0.72
48822.47812068171,0.79
48922.52418240442,0.77
49022.57024412713,0.8
49122.61630584984,0.78
49222.66236757255,0.75
49322.70842929526,0.69
49422.754491017964,0.75
49522.80055274067,0.79
49622.84661446338,0.79
49722.89267618609,0.8
49822.9387379088,0.8
49922.98479963151,0.76
50023.030861354215,0.72
50123.07692307692,0.74
50223.12298479963,0.73
50323.169046522344,0.76
50423.21510824505,0.85
50523.26116996776,0.76
50623.307231690465,0.78
50723.35329341317,0.75
50823.39935513588,0.83
50923.445416858594,0.78
51023.4914785813,0.72
51123.53754030401,0.72
