games,Max Tile
36216.67434362045,4096
36316.72040534316,4096
36416.76646706587,2048
36516.81252878858,4096
36616.858590511285,4096
36716.90465223399,4096
36816.9507139567,4096
36916.996775679414,4096
37017.04283740212,4096
37117.08889912483,4096
37217.134960847536,4096
37317.18102257024,4096
37417.22708429295,4096
37517.273146015665,4096
37617.31920773837,4096
37717.36526946108,4096
37817.41133118379,4096
37917.45739290649,4096
38017.5034546292,4096
38117.549516351915,4096
38217.59557807462,4096
38317.64163979733,4096
38417.68770152004,4096
38517.733763242744,4096
38617.77982496545,4096
38717.82588668816,4096
38817.87194841087,4096
38917.91801013358,4096
39017.96407185629,4096
39118.010133578995,4096
39218.0561953017,4096
39318.10225702441,4096
39418.148318747124,4096
39518.19438046983,4096
39618.24044219254,4096
39718.286503915246,4096
39818.33256563795,4096
39918.37862736066,4096
40018.424689083375,4096
40118.47075080608,4096
40218.51681252879,2048
40318.5628742515,4096
40418.6089359742,4096
40518.65499769691,4096
40618.701059419625,4096
40718.74712114233,4096
40818.79318286504,4096
40918.83924458775,4096
41018.885306310454,4096
41118.93136803316,4096
41218.977429755876,4096
41319.02349147858,4096
41419.06955320129,4096
41519.115614924,4096
41619.161676646705,4096
41719.20773836941,4096
41819.25380009213,4096
41919.299861814834,4096
42019.34592353754,4096
42119.39198526025,4096
42219.438046982956,4096
42319.48410870566,4096
42419.53017042838,4096
42519.576232151085,4096
42619.62229387379,4096
42719.6683555965,4096
42819.71441731921,4096
42919.760479041914,4096
43019.80654076463,4096
43119.852602487335,4096
43219.89866421004,4096
43319.94472593275,4096
43419.99078765546,4096
43520.036849378164,4096
43620.08291110088,4096
43720.128972823586,4096
43820.17503454629,4096
43920.221096269,4096
44020.26715799171,4096
44120.313219714415,4096
44220.35928143713,4096
44320.40534315984,4096
44420.451404882544,4096
44520.49746660525,4096
44620.54352832796,4096
44720.589590050666,4096
44820.63565177338,4096
44920.68171349609,4096
45020.727775218795,4096
45120.7738369415,4096
45220.81989866421,4096
45320.86596038692,4096
45420.912022109624,4096
45520.95808383234,4096
45621.004145555045,4096
45721.05020727775,4096
45821.09626900046,4096
45921.14233072317,4096
46021.188392445874,4096
46121.23445416859,4096
46221.280515891296,4096
46321.326577614,4096
46421.37263933671,4096
46521.41870105942,4096
46621.464762782125,4096
46721.51082450484,4096
46821.55688622755,4096
46921.602947950254,4096
47021.64900967296,4096
47121.69507139567,4096
47221.741133118376,4096
47321.78719484109,4096
47421.8332565638,4096
47521.879318286505,4096
47621.92538000921,4096
47721.97144173192,4096
47822.01750345463,4096
47922.06356517734,4096
48022.10962690005,4096
48122.155688622755,4096
48222.20175034546,4096
48322.24781206817,4096
48422.29387379088,4096
48522.33993551359,4096
48622.3859972363,4096
48722.432058959006,4096
48822.47812068171,4096
48922.52418240442,4096
49022.57024412713,4096
49122.61630584984,4096
49222.66236757255,4096
49322.70842929526,4096
49422.754491017964,4096
49522.80055274067,4096
49622.84661446338,4096
49722.89267618609,4096
49822.9387379088,4096
49922.98479963151,4096
50023.030861354215,4096
50123.07692307692,4096
50223.12298479963,4096
50323.169046522344,4096
50423.21510824505,4096
50523.26116996776,4096
50623.307231690465,4096
50723.35329341317,4096
50823.39935513588,4096
50923.445416858594,4096
51023.4914785813,4096
51123.53754030401,4096
51223.583602026716,4096
51323.62966374942,4096
51423.67572547213,4096
51523.72178719484,4096
51623.76784891755,4096
51723.81391064026,4096
51823.85997236297,4096
51923.906034085674,4096
52023.95209580838,4096
52123.99815753109,4096
52224.0442192538,4096
52324.09028097651,4096
52424.13634269922,4096
52524.182404421925,4096
52624.22846614463,4096
52724.27452786734,4096
52824.320589590054,4096
52924.36665131276,4096
53024.41271303547,4096
53124.458774758175,4096
53224.50483648088,4096
53324.55089820359,4096
53424.596959926304,4096
53524.64302164901,4096
53624.68908337172,4096
53724.735145094426,4096
53824.78120681713,4096
53924.82726853984,4096
54024.873330262555,4096
54124.91939198526,4096
54224.96545370797,4096
54325.01151543068,4096
54425.057577153384,4096
54525.10363887609,4096
54625.149700598806,4096
54725.19576232151,4096
54825.24182404422,4096
54925.28788576693,4096
55025.333947489635,4096
55125.38000921234,4096
55225.42607093506,4096
55325.472132657764,4096
55425.51819438047,4096
55525.56425610318,4096
55625.610317825885,4096
55725.65637954859,4096
55825.70244127131,4096
55925.748502994014,4096
56025.79456471672,4096
56125.84062643943,4096
56225.886688162136,4096
56325.93274988484,4096
56425.97881160756,4096
56526.024873330265,4096
56626.07093505297,4096
56726.11699677568,4096
56826.16305849839,4096
56926.209120221094,4096
57026.25518194381,4096
57126.301243666516,4096
57226.34730538922,4096
57326.39336711193,4096
57426.43942883464,4096
57526.485490557345,4096
57626.53155228005,4096
57726.57761400277,4096
57826.623675725474,4096
57926.66973744818,4096
58026.71579917089,4096
58126.761860893595,4096
58226.8079226163,4096
58326.85398433902,4096
58426.900046061724,4096
58526.94610778443,4096
58626.99216950714,4096
58727.038231229846,4096
58827.08429295255,4096
58927.13035467527,4096
59027.176416397975,4096
59127.22247812068,4096
59227.26853984339,4096
59327.3146015661,4096
59427.360663288804,4096
59527.40672501152,4096
59627.452786734226,4096
59727.49884845693,4096
59827.54491017964,4096
59927.59097190235,4096
60027.637033625055,4096
60127.68309534777,4096
60227.72915707048,4096
60327.775218793184,4096
60427.82128051589,4096
