games,2048 rate
41619.80952380953,0.76
41719.857142857145,0.69
41819.90476190476,0.75
41919.95238095238,0.73
42020.0,0.82
42120.04761904762,0.72
42220.09523809524,0.79
42320.142857142855,0.78
42420.19047619048,0.67
42520.2380952381,0.8
42620.28571428572,0.79
42720.333333333336,0.75
42820.380952380954,0.7
42920.42857142857,0.76
43020.47619047619,0.76
43120.52380952381,0.82
43220.57142857143,0.74
43320.619047619046,0.8
43420.66666666667,0.71
43520.71428571429,0.74
43620.76190476191,0.73
43720.80952380953,0.8
43820.857142857145,0.7
43920.90476190476,0.8
44020.95238095238,0.75
44121.0,0.78
44221.04761904762,0.79
44321.09523809524,0.67
44421.142857142855,0.74
44521.19047619048,0.73
44621.2380952381,0.67
44721.28571428572,0.76
44821.333333333336,0.8
44921.380952380954,0.8
45021.42857142857,0.76
45121.47619047619,0.77
45221.52380952381,0.7
45321.57142857143,0.68
45421.619047619046,0.78
45521.66666666667,0.79
45621.71428571429,0.8
45721.76190476191,0.74
45821.80952380953,0.68
45921.857142857145,0.74
46021.90476190476,0.74
46121.95238095238,0.7
46222.0,0.76
46322.04761904762,0.69
46422.09523809524,0.74
46522.14285714286,0.77
46622.19047619048,0.76
46722.2380952381,0.76
46822.28571428572,0.7
46922.333333333336,0.73
47022.380952380954,0.72
47122.42857142857,0.73
47222.47619047619,0.69
47322.52380952381,0.78
47422.57142857143,0.74
47522.619047619046,0.78
47622.66666666667,0.77
47722.71428571429,0.72
47822.76190476191,0.75
47922.80952380953,0.77
48022.857142857145,0.76
48122.90476190476,0.81
48222.95238095238,0.87
48323.0,0.79
48423.04761904762,0.75
48523.09523809524,0.7
48623.14285714286,0.82
48723.19047619048,0.75
48823.2380952381,0.73
48923.28571428572,0.82
49023.333333333336,0.65
49123.380952380954,0.74
49223.42857142857,0.8
49323.47619047619,0.78
49423.52380952381,0.77
49523.57142857143,0.75
49623.619047619046,0.71
49723.66666666667,0.72
49823.71428571429,0.73
49923.76190476191,0.85
50023.80952380953,0.69
50123.857142857145,0.75
50223.90476190476,0.83
50323.95238095238,0.81
50424.0,0.66
50524.04761904762,0.72
50624.09523809524,0.74
50724.14285714286,0.76
50824.19047619048,0.72
50924.2380952381,0.75
51024.28571428572,0.66
51124.333333333336,0.76
51224.380952380954,0.74
51324.42857142857,0.75
51424.47619047619,0.7
51524.52380952381,0.64
51624.57142857143,0.81
51724.619047619046,0.7
51824.66666666667,0.73
51924.71428571429,0.79
52024.76190476191,0.75
52124.80952380953,0.78
52224.857142857145,0.76
52324.90476190476,0.74
52424.95238095238,0.72
52525.0,0.74
52625.04761904762,0.73
52725.09523809524,0.79
52825.14285714286,0.72
52925.19047619048,0.8
53025.2380952381,0.78
53125.28571428572,0.69
53225.333333333336,0.66
53325.380952380954,0.72
53425.42857142857,0.73
53525.47619047619,0.71
53625.52380952381,0.77
53725.57142857143,0.72
53825.619047619046,0.77
53925.66666666667,0.84
54025.71428571429,0.73
54125.76190476191,0.73
54225.80952380953,0.7
54325.857142857145,0.74
54425.90476190476,0.76
54525.95238095238,0.76
54626.0,0.73
54726.04761904762,0.77
54826.09523809524,0.69
54926.14285714286,0.8
55026.19047619048,0.73
55126.2380952381,0.73
55226.28571428572,0.68
55326.333333333336,0.71
55426.380952380954,0.8
55526.42857142857,0.68
55626.47619047619,0.7
55726.52380952381,0.78
55826.57142857143,0.64
55926.619047619046,0.79
56026.66666666667,0.8
56126.71428571429,0.71
56226.76190476191,0.67
56326.80952380953,0.72
56426.857142857145,0.73
56526.90476190476,0.77
56626.95238095238,0.75
56727.0,0.67
56827.04761904762,0.7
56927.09523809524,0.72
57027.14285714286,0.76
57127.19047619048,0.76
57227.2380952381,0.76
57327.28571428572,0.71
57427.333333333336,0.71
57527.380952380954,0.72
57627.42857142857,0.75
57727.47619047619,0.7
57827.52380952381,0.82
57927.57142857143,0.65
58027.61904761905,0.72
58127.66666666667,0.7
58227.71428571429,0.66
58327.76190476191,0.7
58427.80952380953,0.74
58527.857142857145,0.73
58627.90476190476,0.74
58727.95238095238,0.65
58828.0,0.75
58928.04761904762,0.65
59028.09523809524,0.74
59128.14285714286,0.63
59228.19047619048,0.62
59328.2380952381,0.77
59428.28571428572,0.7
59528.333333333336,0.69
59628.380952380954,0.74
59728.42857142857,0.67
59828.47619047619,0.77
59928.52380952381,0.74
60028.57142857143,0.73
60128.61904761905,0.71
60228.66666666667,0.79
60328.71428571429,0.74
60428.76190476191,0.71
60528.80952380953,0.73
60628.857142857145,0.69
60728.90476190476,0.82
60828.95238095238,0.71
60929.0,0.69
61029.04761904762,0.7
61129.09523809524,0.67
61229.14285714286,0.68
61329.19047619048,0.71
61429.2380952381,0.57
61529.28571428572,0.81
61629.333333333336,0.68
61729.380952380954,0.67
61829.42857142857,0.72
61929.47619047619,0.72
62029.52380952381,0.72
62129.57142857143,0.71
62229.61904761905,0.72
62329.66666666667,0.65
62429.71428571429,0.66
62529.76190476191,0.71
62629.80952380953,0.64
62729.857142857145,0.78
62829.90476190476,0.74
62929.95238095238,0.71
63030.0,0.82
63130.04761904762,0.73
63230.09523809524,0.68
63330.14285714286,0.79
63430.19047619048,0.67
63530.2380952381,0.79
63630.28571428572,0.7
63730.333333333336,0.74
63830.380952380954,0.67
63930.42857142857,0.67
64030.47619047619,0.69
64130.52380952381,0.71
64230.57142857143,0.57
64330.61904761905,0.62
64430.66666666667,0.76
64530.71428571429,0.71
64630.76190476191,0.69
64730.80952380953,0.66
64830.857142857145,0.68
64930.90476190476,0.69
65030.95238095238,0.68
65131.0,0.71
65231.04761904762,0.68
65331.09523809524,0.58
65431.14285714286,0.69
65531.19047619048,0.73
65631.23809523809,0.76
65731.28571428571,0.69
65831.33333333333,0.66
65931.38095238096,0.69
66031.42857142858,0.78
66131.4761904762,0.64
66231.52380952382,0.66
66331.57142857143,0.68
66431.61904761905,0.69
66531.66666666667,0.57
66631.71428571429,0.7
66731.76190476191,0.73
66831.80952380953,0.65
66931.85714285714,0.7
67031.90476190476,0.73
67131.95238095238,0.79
67232.0,0.67
67332.04761904762,0.76
67432.09523809524,0.7
67532.14285714286,0.66
67632.19047619047,0.81
67732.23809523809,0.73
67832.28571428571,0.65
67932.33333333333,0.66
68032.38095238096,0.68
68132.42857142858,0.7
68232.4761904762,0.61
68332.52380952382,0.69
68432.57142857143,0.65
68532.61904761905,0.72
68632.66666666667,0.71
68732.71428571429,0.66
68832.76190476191,0.7
68932.80952380953,0.73
69032.85714285714,0.72
69132.90476190476,0.68
69232.95238095238,0.6
69333.0,0.66
69433.04761904762,0.72
69533.09523809524,0.7
69633.14285714286,0.7
69733.19047619047,0.7
69833.23809523809,0.73
69933.28571428571,0.63
70033.33333333333,0.73
70133.38095238096,0.65
70233.42857142858,0.73
70333.4761904762,0.69
70433.52380952382,0.76
70533.57142857143,0.76
70633.61904761905,0.72
70733.66666666667,0.63
70833.71428571429,0.71
70933.76190476191,0.76
71033.80952380953,0.69
71133.85714285714,0.58
71233.90476190476,0.7
71333.95238095238,0.61
71434.0,0.76
71534.04761904762,0.71
71634.09523809524,0.65
71734.14285714286,0.59
71834.19047619047,0.76
71934.23809523809,0.69
72034.28571428571,0.73
72134.33333333334,0.71
72234.38095238096,0.79
72334.42857142858,0.65
72434.4761904762,0.69
72534.52380952382,0.74
72634.57142857143,0.7
72734.61904761905,0.69
72834.66666666667,0.69
72934.71428571429,0.71
73034.76190476191,0.69
73134.80952380953,0.74
73234.85714285714,0.68
73334.90476190476,0.63
73434.95238095238,0.72
73535.0,0.76
73635.04761904762,0.73
73735.09523809524,0.64
73835.14285714286,0.73
73935.19047619047,0.7
74035.23809523809,0.65
74135.28571428571,0.61
74235.33333333334,0.68
74335.38095238096,0.63
74435.42857142858,0.59
74535.4761904762,0.68
74635.52380952382,0.68
74735.57142857143,0.65
74835.61904761905,0.69
74935.66666666667,0.66
75035.71428571429,0.7
75135.76190476191,0.67
75235.80952380953,0.66
75335.85714285714,0.66
75435.90476190476,0.58
75535.95238095238,0.65
75636.0,0.64
75736.04761904762,0.57
75836.09523809524,0.53
75936.14285714286,0.67
76036.19047619047,0.68
76136.23809523809,0.74
76236.28571428571,0.68
76336.33333333334,0.63
76436.38095238096,0.66
76536.42857142858,0.6
76636.4761904762,0.61
76736.52380952382,0.62
76836.57142857143,0.62
76936.61904761905,0.59
77036.66666666667,0.66
77136.71428571429,0.57
77236.76190476191,0.71
77336.80952380953,0.63
77436.85714285714,0.75
77536.90476190476,0.68
77636.95238095238,0.65
77737.0,0.63
77837.04761904762,0.62
77937.09523809524,0.6
78037.14285714286,0.6
78137.19047619047,0.63
78237.23809523809,0.68
78337.28571428571,0.59
78437.33333333334,0.66
78537.38095238096,0.6
78637.42857142858,0.66
78737.4761904762,0.67
78837.52380952382,0.59
78937.57142857143,0.61
79037.61904761905,0.6
79137.66666666667,0.66
79237.71428571429,0.55
79337.76190476191,0.63
79437.80952380953,0.69
79537.85714285714,0.71
79637.90476190476,0.48
79737.95238095238,0.63
79838.0,0.57
79938.04761904762,0.75
80038.09523809524,0.67
80138.14285714286,0.76
80238.19047619047,0.68
80338.23809523809,0.68
80438.28571428571,0.65
80538.33333333334,0.68
80638.38095238096,0.64
80738.42857142858,0.63
80838.4761904762,0.61
80938.52380952382,0.75
81038.57142857143,0.62
81138.61904761905,0.69
81238.66666666667,0.63
81338.71428571429,0.55
81438.76190476191,0.58
81538.80952380953,0.68
81638.85714285714,0.7
81738.90476190476,0.72
81838.95238095238,0.59
81939.0,0.66
82039.04761904762,0.6
82139.09523809524,0.58
82239.14285714286,0.59
82339.19047619047,0.62
82439.23809523809,0.65
82539.28571428571,0.59
82639.33333333334,0.58
82739.38095238096,0.62
82839.42857142858,0.65
82939.4761904762,0.61
83039.52380952382,0.54
83139.57142857143,0.64
83239.61904761905,0.63
83339.66666666667,0.65
83439.71428571429,0.65
83539.76190476191,0.63
83639.80952380953,0.5
83739.85714285714,0.74
83839.90476190476,0.56
83939.95238095238,0.67
84040.0,0.67
84140.04761904762,0.62
84240.09523809524,0.64
84340.14285714286,0.62
84440.19047619047,0.66
84540.23809523809,0.61
84640.28571428571,0.56
84740.33333333334,0.57
84840.38095238096,0.64
84940.42857142858,0.62
85040.4761904762,0.58
85140.52380952382,0.56
85240.57142857143,0.6
85340.61904761905,0.54
85440.66666666667,0.62
85540.71428571429,0.58
85640.76190476191,0.64
85740.80952380953,0.63
85840.85714285714,0.71
85940.90476190476,0.62
86040.95238095238,0.57
86141.0,0.64
86241.04761904762,0.65
86341.09523809524,0.62
86441.14285714286,0.64
86541.19047619047,0.62
86641.23809523809,0.64
86741.28571428571,0.6
86841.33333333334,0.65
86941.38095238096,0.54
87041.42857142858,0.63
87141.4761904762,0.54
87241.52380952382,0.58
87341.57142857143,0.6
87441.61904761905,0.56
87541.66666666667,0.58
87641.71428571429,0.58
87741.76190476191,0.66
87841.80952380953,0.68
87941.85714285714,0.55
88041.90476190476,0.7
88141.95238095238,0.62
88242.0,0.58
88342.04761904762,0.52
88442.09523809524,0.69
88542.14285714286,0.7
88642.19047619047,0.57
88742.23809523809,0.61
88842.28571428571,0.64
88942.33333333334,0.62
89042.38095238096,0.57
89142.42857142858,0.6
89242.4761904762,0.57
89342.52380952382,0.53
89442.57142857143,0.63
89542.61904761905,0.63
89642.66666666667,0.65
89742.71428571429,0.62
89842.76190476191,0.63
89942.80952380953,0.58
90042.85714285714,0.55
90142.90476190476,0.57
90242.95238095238,0.58
90343.0,0.62
90443.04761904762,0.59
90543.09523809524,0.59
90643.14285714286,0.67
90743.19047619047,0.51
90843.23809523809,0.55
90943.28571428571,0.57
91043.33333333334,0.5
91143.38095238096,0.55
91243.42857142858,0.59
91343.4761904762,0.65
91443.52380952382,0.6
91543.57142857143,0.58
91643.61904761905,0.5
